WS Name, Status, Data Date Time, Wind Speed, Wind Gust, Wind Direction, Air Temperature, Air Pressure, Relative Humidity, Track Temperature, Precipitation Intensity, Precipitation Quantity, Rainfall In Last Hour, Rainfall in Last 24 hours
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:03,7.94,21.53,SW,14.2,993.5,94.5,13.7,0,0,0,19.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:08,9.31,21.53,S,14.2,993.4,94,13.7,0,0,0,19.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:13,8.99,17.65,S,14,993.3,94.3,13.7,0,0,0,19.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:18,8.42,17.94,S,13.8,993.3,95,13.8,0,0,0,19.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:23,8.14,16.24,S,13.7,993.2,95.3,13.8,0.2,0.2,0.2,19.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:28,7.92,15.89,S,13.7,993.2,95.7,13.8,0.2,0,0.2,19.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:33,6.83,16.24,S,13.6,993,96,13.7,0.2,0,0.2,19.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:38,6.68,14.29,S,13.6,993,96.3,13.7,0.2,0,0.2,19.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:43,7.8,16.67,S,13.7,993,96,13.7,0.4,0.2,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:48,8.81,17.3,S,13.9,992.9,95.2,13.7,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:53,8.4,17.3,S,14,992.8,94.7,13.8,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 00:58,7.61,16.22,S,14.1,992.7,94.4,13.7,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:03,8.24,16.22,S,14.1,992.6,94,13.8,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:08,7.56,17.88,S,14.1,992.7,93.8,13.8,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:13,6.85,17.88,S,14.1,992.6,94.1,13.8,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:18,7.74,18.36,S,14.1,992.6,94.4,13.8,0.4,0,0.4,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:23,7.82,16.31,S,14.1,992.6,94.6,13.8,0.2,0,0.2,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:28,7.24,16.31,S,14.1,992.5,94.8,13.8,0.2,0,0.2,20
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:33,7.53,16.68,S,14,992.3,95.3,13.8,0.4,0.2,0.4,20.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:38,8.29,16.68,S,14,992.1,95.7,13.8,0.6,0.2,0.6,20.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:43,9.29,18.48,S,14,992,95.3,13.8,0.4,0,0.4,20.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:48,9.07,18.48,S,14,992,95,13.8,0.4,0,0.4,20.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:53,8.64,16.2,S,14,991.8,94.8,13.8,0.4,0,0.4,20.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 01:58,8.83,19.69,S,14,991.7,94.9,13.8,0.4,0,0.4,20.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:03,8.46,19.69,S,14.1,991.7,94.9,13.8,0.4,0,0.4,20.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:08,8.34,18.55,S,14.1,991.7,94.8,13.8,0.6,0.2,0.6,20.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:13,8.59,20.41,S,14,991.6,94.8,13.8,0.6,0,0.6,20.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:18,9.2,19.82,S,13.9,991.6,95,13.8,0.6,0,0.6,20.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:23,9.74,19.82,S,13.8,991.6,94.6,13.8,0.8,0.2,0.8,20.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:28,10.11,20.67,S,13.7,991.5,95.1,13.8,1.2,0.4,1.2,21
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:33,10.06,22,S,13.5,991.4,95.2,13.8,1.2,0.2,1.2,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:38,9.36,18.43,S,13.4,991.3,95.6,13.8,1.2,0.2,1.2,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:43,8.94,18.66,S,13.2,991.3,95.4,13.8,1.2,0,1.2,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:48,8.01,16.74,S,13,991.2,96,13.8,1.2,0,1.2,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:53,8.09,16.74,S,12.8,991,95.7,13.7,1.4,0.2,1.4,21.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 02:58,7.57,15.14,S,12.7,990.8,95.6,13.7,1.6,0.2,1.6,21.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:03,8.31,17.74,S,12.6,990.9,95.6,13.6,1.8,0.2,1.8,21.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:08,8.49,17.74,S,12.6,990.9,96.2,13.6,2.2,0.6,2.2,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:13,7.92,16.26,S,12.4,991,96.5,13.5,2.4,0.2,2.4,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:18,7.74,18.61,S,12.3,990.9,97,13.4,2.4,0,2.4,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:23,8.21,20.36,S,12.4,990.9,97.1,13.4,2.2,0,2.2,22.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:28,7.28,20.36,S,12.5,990.9,97.3,13.3,1.8,0,1.8,22.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:33,6.58,13.48,S,12.6,990.9,97.4,13.3,1.6,0,1.6,22
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:38,8.1,19.74,S,12.7,990.9,96.9,13.2,1.6,0.2,1.6,22
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:43,8.69,19.74,S,12.8,990.8,96.4,13.2,1.6,0,1.6,21.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:48,8.64,17.58,S,12.7,990.8,95.7,13.2,1.8,0.2,1.8,21.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:53,8.4,16.72,S,12.7,990.8,95.6,13.2,1.6,0,1.6,21.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 03:58,7.64,17.16,S,12.7,990.8,95.7,13.1,1.4,0,1.4,21.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:03,8.33,17.36,S,12.7,990.8,95.9,13.1,1.2,0,1.2,21.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:08,8.26,17.36,S,12.7,990.7,95.8,13,0.6,0,0.6,21.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:13,8.12,17.44,S,12.7,990.7,95.7,13,0.6,0.2,0.6,21.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:18,8.26,17.44,S,12.7,990.6,95.7,13,0.6,0,0.6,21.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:23,8.3,15.78,S,12.8,990.5,95.7,12.9,0.6,0,0.6,21.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:28,7.42,15.78,S,12.8,990.5,96,12.9,0.6,0,0.6,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:33,7.28,17.16,S,12.8,990.4,96,12.9,0.6,0,0.6,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:38,7.58,17.16,S,12.8,990.3,95.5,12.9,0.4,0,0.4,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:43,6.51,16.28,S,12.8,990.3,95.5,12.9,0.4,0,0.4,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:48,6.23,13.49,S,12.8,990.4,95.4,12.9,0.2,0,0.2,21.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:53,6.15,13.59,S,12.7,990.4,95.2,12.9,0.2,0,0.2,21
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 04:58,6.42,16.82,S,12.7,990.4,94.2,12.8,0.2,0,0.2,21
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:03,7.9,17.31,S,12.7,990.4,91.8,12.9,0.2,0,0.2,21
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:08,8.46,18.47,S,12.8,990.3,90.1,12.8,0.2,0,0.2,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:13,8.03,15,S,12.8,990.3,90.5,12.8,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:18,8.24,15.22,S,12.8,990.3,91,12.8,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:23,8.13,23.5,S,12.9,990.2,91.4,12.8,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:28,8.04,23.5,S,12.9,990.2,91.5,12.8,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:33,7.75,16.47,S,12.8,990.2,91.7,12.7,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:38,7.66,17.71,S,12.8,990.1,91.9,12.7,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:43,7.31,17.71,S,12.8,990.1,92,12.7,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:48,7.03,18.84,S,12.8,990.1,92.3,12.7,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:53,7.43,18.84,SW,12.8,989.8,91.9,12.7,0,0,0,20.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 05:58,7.15,14.48,S,12.8,989.7,91.9,12.7,0,0,0,20.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:03,7.43,13.57,S,12.8,989.5,92.3,12.7,0,0,0,20.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:08,7.83,16.27,S,12.8,989.5,92.8,12.7,0,0,0,20.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:13,8.86,18.35,S,12.5,989.4,90.7,12.7,0,0,0,20.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:18,10.2,24.05,S,11.9,990,90.9,12.7,4,4,4,24.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:23,9.87,24.05,SW,10.8,990.1,93.1,12.6,6.4,2.4,6.4,27
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:28,8.43,24.05,SW,10.5,990.1,93.8,12.5,6.4,0,6.4,26.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:33,6.37,21.67,SW,10.5,989.9,93.3,12.5,6.4,0,6.4,26.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:38,4.57,9.74,SW,10.5,990,93.4,12.4,6.4,0,6.4,26.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:43,4.22,9.74,SW,10.4,990.2,94,12.2,6.4,0,6.4,26.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:48,3.47,9.9,SW,10.4,990.3,94.2,12.1,6.4,0,6.4,26.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:53,4.04,10.86,SW,10.4,990.4,94,12,6.4,0,6.4,26.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 06:58,4.48,12.36,SW,10.5,990.4,94.2,12,6.6,0.2,6.6,26.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:03,4.66,12.36,SW,10.6,990.4,94.6,11.8,6.6,0,6.6,26.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:08,3.97,10.71,SW,10.6,990.3,94.6,11.7,6.6,0,6.6,26.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:13,4.15,10.96,S,10.6,990.2,94.5,11.7,6.6,0,6.6,26
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:18,4.97,10.96,S,10.7,990.3,94.4,11.7,2.6,0,2.6,26
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:23,5.34,12.13,S,10.8,990.3,94.2,11.7,0.2,0,0.2,25.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:28,5.56,12.13,S,10.9,990.4,94.1,11.6,0.2,0,0.2,25.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:33,5.84,15.48,S,11,990.4,94,11.6,0.2,0,0.2,25.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:38,5.48,15.48,S,11.1,990.5,94.2,11.5,0.2,0,0.2,25.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:43,4.66,14.16,S,11.1,990.6,94.3,11.5,0.2,0,0.2,25
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:48,4.05,14.16,SW,11.2,990.6,93.2,11.4,0.2,0,0.2,24.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:53,3.98,12.78,SW,11.3,990.7,92.5,11.5,0.2,0,0.2,24.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 07:58,3.9,12.52,SW,11.4,990.8,91.8,11.4,0,0,0,24.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:03,3.94,14.99,SW,11.5,991,91.3,11.4,0,0,0,24.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:08,2.36,14.99,SW,11.4,991.2,87.5,11.4,0,0,0,24.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:13,1.12,13.51,S,11.1,991.3,85.8,11.5,0,0,0,24.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:18,1.15,11.66,S,10.9,991.5,86.2,11.5,0,0,0,24.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:23,1.19,7.94,S,10.7,991.6,86.8,11.5,0,0,0,24.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:28,1.49,11.18,SW,10.7,991.7,87.4,11.5,0,0,0,24.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:33,3.97,12.18,S,10.8,991.8,87.2,11.6,0,0,0,24.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:38,4.25,12.18,S,11,991.9,87.2,11.6,0,0,0,24.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:43,3.49,11.21,SW,11.3,991.9,87.1,11.7,0,0,0,24.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:48,3.5,13.14,SW,11.5,992.1,86.7,11.7,0,0,0,24.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:53,2.14,13.14,SW,11.6,992.3,86.8,11.7,0,0,0,24
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 08:58,1.65,16.04,SW,11.5,992.4,84.5,12,0,0,0,24
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:03,1.91,16.04,SW,11.6,992.5,81.4,12.2,0,0,0,23.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:08,1.91,9.55,SW,11.7,992.6,81.4,12.2,0,0,0,23.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:13,1.9,10.69,SW,11.9,992.6,81.6,12.5,0,0,0,23.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:18,0.71,10.69,NW,11.8,992.7,81.6,12.7,0,0,0,23.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:23,0.8,8.98,N,11.7,992.8,82.3,12.8,0,0,0,23.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:28,0,10.24,N,11.9,992.9,81.8,12.9,0,0,0,23.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:33,0,9.5,N,12.2,993.1,77.8,13.1,0.2,0.2,0.2,23.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:38,1.19,10.68,SW,12,993.1,75,13.2,0.2,0,0.2,23.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:43,3.77,18.41,SW,12,993.2,73,13.2,0.2,0,0.2,23.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:48,5.47,18.41,SW,11.6,993.3,73,13.2,0.2,0,0.2,23.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:53,5.27,14.21,S,11.7,993.3,74.1,13.3,0.2,0,0.2,23
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 09:58,3.44,17.81,SW,11.8,993.4,73.9,13.2,0.2,0,0.2,22.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:03,1.84,17.81,SW,11.9,993.5,74.1,13.4,0.2,0,0.2,22.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:08,3.59,15.66,SW,11.9,993.4,73.3,13.4,0.2,0,0.2,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:13,4.54,16.58,SW,11.9,993.5,70.9,13.5,0.2,0,0.2,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:18,5.43,14.9,SW,11.6,993.5,70.7,13.5,0.2,0,0.2,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:23,6.31,13.68,SW,11.5,993.7,71.9,13.5,0.2,0,0.2,22.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:28,4.64,13.68,SW,12,993.7,72.9,13.6,0.2,0,0.2,22.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:33,3.8,13.94,SW,12.4,993.6,72.5,13.6,0,0,0,22
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:38,4.7,16.18,SW,12.2,993.7,71.6,13.6,0,0,0,21.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:43,5.63,16.18,SW,11.9,993.6,69.8,13.6,0,0,0,21.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:48,5.63,16.63,SW,12.2,993.7,71.3,13.7,0,0,0,21.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:53,6.03,23.58,SW,12.2,993.8,70.1,13.7,0,0,0,20.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 10:58,6.58,23.58,SW,12.2,993.8,69.9,13.8,0,0,0,20.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:03,6.63,20.32,SW,12.8,993.8,66.5,13.8,0,0,0,19.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:08,6.73,20.85,SW,12.5,993.9,67.7,13.8,0,0,0,19
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:13,6.23,20.85,SW,12.1,993.9,71.4,13.8,0,0,0,18.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:18,4.87,15.5,SW,11.9,994,72.1,13.8,0,0,0,18
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:23,4.45,12.33,SW,12,994,71.2,13.8,0,0,0,17.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:28,4.85,14.62,SW,12.3,994.1,70.1,13.8,0,0,0,17.8
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:33,4.95,16.98,SW,12.4,994.2,70.1,13.8,0,0,0,17.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:38,6.61,19.28,SW,11.1,994.2,73,13.8,0,0,0,17.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:43,7,18.95,SW,10.8,994.2,76.7,13.6,0,0,0,17.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:48,5.98,18.95,SW,10.8,994.2,78.3,13.6,0,0,0,16.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:53,4.88,12.93,SW,10.8,994.2,78.6,13.5,0,0,0,15.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 11:58,4.8,14.74,SW,10.8,994.2,78.7,13.3,0,0,0,14.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:03,4.85,14.74,SW,11,994.3,77.8,13.2,0,0,0,14.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:08,4.82,15.84,SW,11.2,994.3,76.8,13.1,0,0,0,14.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:13,4.39,15.41,SW,11.7,994.4,75.1,13,0,0,0,14.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:18,4.72,15.41,SW,12.3,994.5,72.2,13,0,0,0,14.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:23,5.95,18.18,SW,12,994.4,71,12.9,0,0,0,14.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:28,5.61,18.18,SW,11.7,994.5,72.2,12.9,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:33,5.64,16.5,SW,11.3,994.6,73.5,12.9,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:38,6.21,18.08,SW,10.9,994.7,75.6,12.8,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:43,6.3,16.98,SW,11,994.6,76.8,12.8,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:48,5.71,16.98,SW,11.8,994.6,74.7,12.7,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:53,5.34,15.89,SW,12.4,994.6,73.5,12.7,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 12:58,4.87,17.1,SW,12.7,994.7,73.5,12.7,0,0,0,14
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:04,6.16,18.36,SW,13,994.7,70.9,12.7,0,0,0,13.6
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:09,7.44,18.84,SW,13.1,994.7,68.1,12.7,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:14,7.7,18.84,SW,12.6,994.8,69.3,12.8,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:19,6.15,16.29,SW,12.6,994.8,69.6,12.9,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:24,5.88,16.29,SW,12.8,994.8,69,12.9,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:29,6.4,18.52,SW,13,994.8,67.8,12.9,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:34,7.41,18.52,SW,12.7,994.9,66.8,13,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:39,6.46,17.29,SW,12.3,994.9,68.6,13,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:44,5.15,15.1,SW,12.2,994.9,69.4,13.1,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:49,4.15,13.53,SW,12.7,995,68.2,13.1,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:54,5.04,13.53,SW,13.5,994.9,65.7,13.1,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 13:59,5.56,17.77,SW,13.5,994.9,64.6,13.2,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:04,6.73,18.29,SW,13.3,995,63.9,13.3,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:09,5.14,23.07,SW,13.2,995,65.6,13.4,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:14,5.97,23.07,SW,12.9,994.9,65.8,13.4,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:19,6.97,25.07,SW,12.6,995,67.8,13.4,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:24,6.46,20.71,SW,12.7,995,67.9,13.5,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:29,5.16,20.71,SW,13.2,995.1,65.2,13.5,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:34,4.94,19.59,SW,12.8,995.2,66.5,13.6,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:39,6.7,20.6,SW,12.5,995.1,68.8,13.7,0,0,0,12.4
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:44,6.53,17.07,SW,12.1,995.1,71.5,13.7,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:49,6.09,17.07,SW,12,995,73.2,13.6,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:54,5.71,14.66,SW,12.5,995,72.4,13.7,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 14:59,5.05,19.98,SW,12.9,995.1,68.9,13.6,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:04,5.66,19.98,SW,12.7,995.1,66.4,13.7,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:09,5.32,15.81,SW,12.5,995.1,68.3,13.7,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:14,5.22,17.52,SW,12.4,995.2,68.9,13.7,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:19,4.6,17.52,SW,12.7,995.1,70.2,13.6,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:24,5.4,18.14,SW,13.1,995.2,67.3,13.6,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:29,7.1,20.27,SW,12.8,995.2,66.1,13.8,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:34,6,20.27,SW,12.7,995.3,65.6,13.7,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:39,5.8,16.66,SW,13.1,995.3,64.7,13.8,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:44,6.95,19.93,SW,12.7,995.2,64.8,13.8,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:49,5.54,19.93,SW,12.3,995.2,66.4,13.8,0,0,0,12.2
CG17 Oxenholme Stn 18.1724X,Normal,01/10/2021 15:54,4.55,14.89,SW,12.1,995.3,67.6,13.7,0,0,0,12.2
